schoolCode,schoolname,mgmt,type,classL,classH
27031009801,Z.P. PRI. SCH. (MARATHI) MENGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27031009802,Z.P. PRI. SCH.  (URDU) MENGAON,Zilla Parishad,1_Primary,1,4
27031009901,Z.P. PRI. SCH. MORAD,Zilla Parishad,2_Primary with Upper Primary,1,7
27031010001,Z.P. PRI. SCH. (BOYS) MARATHI SHENDURNI,Zilla Parishad,1_Primary,1,4
27031010002,Z.P. PRI. SCH. (GIRLS) MARATHI SHENDURNI,Zilla Parishad,1_Primary,1,4
27031010003,Z.P. PRI. SCH. (BOYS) URDU SHENDURNI,Zilla Parishad,2_Primary with Upper Primary,1,7
27031010004,Z.P. PRI. SCH. (GIRLS) URDU) SHENDURNI,Zilla Parishad,2_Primary with Upper Primary,1,7
27031010010,Z.P. PRI. SCH. JANGIPURA SHENDURNI,Zilla Parishad,1_Primary,1,4
27031010016,Z.P.PRI.SCH. BAHERPURA SHENDURNI,Zilla Parishad,1_Primary,1,4
27031010017,Z.P.PRI.SCH. EDGAH SHENDURNI,Zilla Parishad,1_Primary,1,4
27031010018,Z.P.PRI.SCH. (URDU) EDGAH SHENDURNI,Zilla Parishad,1_Primary,1,4
27031010301,Z.P. PRI. SCH. BHAGDARA,Zilla Parishad,1_Primary,1,4
27031010401,Z.P. PRI. SCH. KODOLI,Zilla Parishad,1_Primary,1,4
27031010501,Z.P. PRI. SCH. MOYGAON,Zilla Parishad,1_Primary,1,4
27031010601,Z.P. PRI. SCH. PIMPALGAON GOLAEET,Zilla Parishad,1_Primary,1,4
27031010701,Z.P. PRI. SCH. PIMPARKHED,Zilla Parishad,1_Primary,1,4
27031010801,Z.P. PRI. SCH. TAKALI BK.,Zilla Parishad,2_Primary with Upper Primary,1,7
27031010901,Z.P. PRI. SCH. TAKALI KH.,Zilla Parishad,2_Primary with Upper Primary,1,7
27031011001,Z.P. PRI. SCH. BHARUDKHEDE,Zilla Parishad,2_Primary with Upper Primary,1,5
27031011101,Z.P. PRI. SCH. (MARATHI) DHALGAON,Zilla Parishad,2_Primary with Upper Primary,1,5
27031011102,Z.P. PRI. SCH.  (URDU) DHALGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27031011201,Z.P. PRI. SCH. DHALSINGI,Zilla Parishad,1_Primary,1,4
27031011301,Z.P. PRI. SCH. KHANDAVE,Zilla Parishad,1_Primary,1,4
27031011401,Z.P. PRI. SCH. KUMBHARI BK,Zilla Parishad,1_Primary,1,4
27031011501,Z.P. PRI. SCH. MANDAVE BK.,Zilla Parishad,2_Primary with Upper Primary,1,5
27031011601,Z.P. PRI. SCH. MANDAVE KH.,Zilla Parishad,1_Primary,1,4
27031011701,Z.P. PRI. SCH. (MARATHI) TONDAPUR,Zilla Parishad,1_Primary,1,4
27031011702,Z.P. PRI. SCH. (URDU) TONDAPUR,Zilla Parishad,2_Primary with Upper Primary,1,7
27031011801,Z.P. PRI. SCH. (MARATHI) DEWULGAON,Zilla Parishad,2_Primary with Upper Primary,1,7
27031011802,Z.P. PRI. SCH. (URDU) DEWULGAON,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27031011901,Z.P. PRI. SCH. (MARATHI) KASABA PIMPRI,Zilla Parishad,2_Primary with Upper Primary,1,5
27031011902,Z.P. PRI. SCH. (URDU) KASABA PIMPRI,Zilla Parishad,2_Primary with Upper Primary,1,5
27031012001,Z.P. PRI. SCH. PALASKHEDE KAKAR,Zilla Parishad,2_Primary with Upper Primary,1,5
